phase,iteration,params,score,len_short,len_mid,len_long,adx_len,adx_threshold
refined,7,"{'len_short': 7, 'len_mid': 31, 'len_long': 160, 'adx_len': 12, 'adx_threshold': 21}",0.19452052098995176,7,31,160,12,21
bayesian,37,"{'len_short': 7, 'len_mid': 31, 'len_long': 161, 'adx_len': 13, 'adx_threshold': 22}",0.19391808593805537,7,31,161,13,22
refined,9,"{'len_short': 8, 'len_mid': 33, 'len_long': 160, 'adx_len': 13, 'adx_threshold': 21}",0.19363105859323243,8,33,160,13,21
refined,16,"{'len_short': 8, 'len_mid': 30, 'len_long': 160, 'adx_len': 13, 'adx_threshold': 21}",0.19291846919381764,8,30,160,13,21
refined,10,"{'len_short': 6, 'len_mid': 31, 'len_long': 160, 'adx_len': 14, 'adx_threshold': 21}",0.19144741917578356,6,31,160,14,21
refined,14,"{'len_short': 6, 'len_mid': 30, 'len_long': 160, 'adx_len': 12, 'adx_threshold': 22}",0.19119261555597944,6,30,160,12,22
refined,6,"{'len_short': 7, 'len_mid': 32, 'len_long': 161, 'adx_len': 13, 'adx_threshold': 23}",0.1908800371815294,7,32,161,13,23
refined,13,"{'len_short': 7, 'len_mid': 34, 'len_long': 161, 'adx_len': 12, 'adx_threshold': 23}",0.1896945522000386,7,34,161,12,23
bayesian,22,"{'len_short': 11, 'len_mid': 30, 'len_long': 161, 'adx_len': 16, 'adx_threshold': 23}",0.1892261456100104,11,30,161,16,23
bayesian,11,"{'len_short': 5, 'len_mid': 37, 'len_long': 161, 'adx_len': 16, 'adx_threshold': 21}",0.18910580687469444,5,37,161,16,21
refined,4,"{'len_short': 7, 'len_mid': 30, 'len_long': 160, 'adx_len': 12, 'adx_threshold': 23}",0.18892269291137664,7,30,160,12,23
grid,20,"{'len_short': 5, 'len_mid': 50, 'len_long': 160, 'adx_len': 13, 'adx_threshold': 21}",0.1887760476889407,5,50,160,13,21
refined,5,"{'len_short': 7, 'len_mid': 34, 'len_long': 160, 'adx_len': 14, 'adx_threshold': 22}",0.1885541001099046,7,34,160,14,22
grid,12,"{'len_short': 15, 'len_mid': 50, 'len_long': 160, 'adx_len': 16, 'adx_threshold': 21}",0.18838355805909518,15,50,160,16,21
bayesian,36,"{'len_short': 17, 'len_mid': 30, 'len_long': 160, 'adx_len': 15, 'adx_threshold': 24}",0.18705114049364768,17,30,160,15,24
bayesian,16,"{'len_short': 7, 'len_mid': 31, 'len_long': 160, 'adx_len': 14, 'adx_threshold': 23}",0.18662561420624027,7,31,160,14,23
refined,2,"{'len_short': 7, 'len_mid': 30, 'len_long': 160, 'adx_len': 14, 'adx_threshold': 23}",0.18645417793512215,7,30,160,14,23
grid,19,"{'len_short': 5, 'len_mid': 30, 'len_long': 160, 'adx_len': 16, 'adx_threshold': 23}",0.18413414390730992,5,30,160,16,23
bayesian,8,"{'len_short': 9, 'len_mid': 32, 'len_long': 162, 'adx_len': 16, 'adx_threshold': 21}",0.18301637871026785,9,32,162,16,21
refined,15,"{'len_short': 7, 'len_mid': 32, 'len_long': 162, 'adx_len': 14, 'adx_threshold': 22}",0.18012646663805104,7,32,162,14,22
bayesian,10,"{'len_short': 7, 'len_mid': 34, 'len_long': 161, 'adx_len': 15, 'adx_threshold': 26}",0.1799899061599565,7,34,161,15,26
bayesian,24,"{'len_short': 12, 'len_mid': 30, 'len_long': 161, 'adx_len': 16, 'adx_threshold': 28}",0.17814325452344043,12,30,161,16,28
grid,21,"{'len_short': 10, 'len_mid': 30, 'len_long': 160, 'adx_len': 15, 'adx_threshold': 25}",0.1779949069407949,10,30,160,15,25
refined,3,"{'len_short': 6, 'len_mid': 33, 'len_long': 163, 'adx_len': 12, 'adx_threshold': 23}",0.17500663930481175,6,33,163,12,23
bayesian,30,"{'len_short': 18, 'len_mid': 34, 'len_long': 160, 'adx_len': 13, 'adx_threshold': 28}",0.17380855089739664,18,34,160,13,28
grid,1,"{'len_short': 15, 'len_mid': 60, 'len_long': 160, 'adx_len': 14, 'adx_threshold': 25}",0.1735962068836329,15,60,160,14,25
bayesian,39,"{'len_short': 18, 'len_mid': 60, 'len_long': 162, 'adx_len': 16, 'adx_threshold': 22}",0.17249317903118216,18,60,162,16,22
refined,8,"{'len_short': 6, 'len_mid': 34, 'len_long': 164, 'adx_len': 12, 'adx_threshold': 21}",0.17220546428085876,6,34,164,12,21
bayesian,15,"{'len_short': 8, 'len_mid': 52, 'len_long': 160, 'adx_len': 16, 'adx_threshold': 26}",0.17109532667272934,8,52,160,16,26
grid,2,"{'len_short': 20, 'len_mid': 60, 'len_long': 160, 'adx_len': 12, 'adx_threshold': 27}",0.17055356739276945,20,60,160,12,27
refined,11,"{'len_short': 6, 'len_mid': 34, 'len_long': 163, 'adx_len': 13, 'adx_threshold': 23}",0.17007236716625668,6,34,163,13,23
refined,12,"{'len_short': 6, 'len_mid': 30, 'len_long': 165, 'adx_len': 12, 'adx_threshold': 21}",0.16981031455740886,6,30,165,12,21
grid,18,"{'len_short': 5, 'len_mid': 30, 'len_long': 160, 'adx_len': 14, 'adx_threshold': 29}",0.169778349136523,5,30,160,14,29
bayesian,34,"{'len_short': 18, 'len_mid': 30, 'len_long': 163, 'adx_len': 15, 'adx_threshold': 27}",0.1695230771343869,18,30,163,15,27
grid,16,"{'len_short': 10, 'len_mid': 50, 'len_long': 160, 'adx_len': 13, 'adx_threshold': 27}",0.16949847359502146,10,50,160,13,27
bayesian,26,"{'len_short': 6, 'len_mid': 58, 'len_long': 162, 'adx_len': 12, 'adx_threshold': 24}",0.16895735098993458,6,58,162,12,24
refined,1,"{'len_short': 7, 'len_mid': 32, 'len_long': 165, 'adx_len': 14, 'adx_threshold': 21}",0.16853078096947594,7,32,165,14,21
refined,17,"{'len_short': 7, 'len_mid': 32, 'len_long': 164, 'adx_len': 13, 'adx_threshold': 22}",0.16804576442356794,7,32,164,13,22
grid,3,"{'len_short': 5, 'len_mid': 30, 'len_long': 200, 'adx_len': 12, 'adx_threshold': 23}",0.16650052175763583,5,30,200,12,23
refined,18,"{'len_short': 7, 'len_mid': 32, 'len_long': 164, 'adx_len': 13, 'adx_threshold': 23}",0.16639671998813704,7,32,164,13,23
refined,0,"{'len_short': 6, 'len_mid': 31, 'len_long': 164, 'adx_len': 13, 'adx_threshold': 23}",0.16632522711308761,6,31,164,13,23
bayesian,19,"{'len_short': 8, 'len_mid': 39, 'len_long': 163, 'adx_len': 14, 'adx_threshold': 23}",0.16632205541889952,8,39,163,14,23
refined,19,"{'len_short': 7, 'len_mid': 30, 'len_long': 165, 'adx_len': 13, 'adx_threshold': 22}",0.1662017719900734,7,30,165,13,22
bayesian,17,"{'len_short': 12, 'len_mid': 57, 'len_long': 161, 'adx_len': 13, 'adx_threshold': 28}",0.16603916078315456,12,57,161,13,28
bayesian,20,"{'len_short': 12, 'len_mid': 30, 'len_long': 165, 'adx_len': 12, 'adx_threshold': 24}",0.1650888641101949,12,30,165,12,24
bayesian,28,"{'len_short': 19, 'len_mid': 43, 'len_long': 164, 'adx_len': 15, 'adx_threshold': 22}",0.16366169748581297,19,43,164,15,22
bayesian,14,"{'len_short': 7, 'len_mid': 52, 'len_long': 164, 'adx_len': 13, 'adx_threshold': 22}",0.16253370661307728,7,52,164,13,22
bayesian,9,"{'len_short': 11, 'len_mid': 30, 'len_long': 198, 'adx_len': 16, 'adx_threshold': 25}",0.16242542148113243,11,30,198,16,25
bayesian,13,"{'len_short': 11, 'len_mid': 60, 'len_long': 167, 'adx_len': 15, 'adx_threshold': 22}",0.16036791253332872,11,60,167,15,22
bayesian,38,"{'len_short': 16, 'len_mid': 45, 'len_long': 162, 'adx_len': 15, 'adx_threshold': 29}",0.15918024900009037,16,45,162,15,29
bayesian,5,"{'len_short': 18, 'len_mid': 32, 'len_long': 188, 'adx_len': 14, 'adx_threshold': 22}",0.1579067638638037,18,32,188,14,22
bayesian,25,"{'len_short': 5, 'len_mid': 30, 'len_long': 163, 'adx_len': 15, 'adx_threshold': 29}",0.15776006534665124,5,30,163,15,29
bayesian,2,"{'len_short': 11, 'len_mid': 39, 'len_long': 165, 'adx_len': 13, 'adx_threshold': 22}",0.15769873846619187,11,39,165,13,22
bayesian,6,"{'len_short': 5, 'len_mid': 34, 'len_long': 167, 'adx_len': 13, 'adx_threshold': 29}",0.15769774441205495,5,34,167,13,29
bayesian,7,"{'len_short': 7, 'len_mid': 30, 'len_long': 193, 'adx_len': 13, 'adx_threshold': 21}",0.15764061386560313,7,30,193,13,21
bayesian,27,"{'len_short': 8, 'len_mid': 31, 'len_long': 166, 'adx_len': 16, 'adx_threshold': 23}",0.1575528155049817,8,31,166,16,23
bayesian,35,"{'len_short': 17, 'len_mid': 34, 'len_long': 197, 'adx_len': 12, 'adx_threshold': 23}",0.15607527231663626,17,34,197,12,23
bayesian,31,"{'len_short': 7, 'len_mid': 34, 'len_long': 198, 'adx_len': 14, 'adx_threshold': 28}",0.1558563849611117,7,34,198,14,28
grid,22,"{'len_short': 5, 'len_mid': 40, 'len_long': 200, 'adx_len': 13, 'adx_threshold': 25}",0.15556696601729053,5,40,200,13,25
bayesian,21,"{'len_short': 6, 'len_mid': 58, 'len_long': 163, 'adx_len': 15, 'adx_threshold': 28}",0.15310203713088533,6,58,163,15,28
grid,11,"{'len_short': 10, 'len_mid': 50, 'len_long': 200, 'adx_len': 13, 'adx_threshold': 21}",0.15261333242654962,10,50,200,13,21
bayesian,0,"{'len_short': 19, 'len_mid': 37, 'len_long': 197, 'adx_len': 14, 'adx_threshold': 28}",0.15067793370119792,19,37,197,14,28
grid,10,"{'len_short': 10, 'len_mid': 60, 'len_long': 200, 'adx_len': 13, 'adx_threshold': 23}",0.15007554017638164,10,60,200,13,23
grid,15,"{'len_short': 5, 'len_mid': 60, 'len_long': 200, 'adx_len': 16, 'adx_threshold': 21}",0.14862175444190748,5,60,200,16,21
grid,23,"{'len_short': 10, 'len_mid': 60, 'len_long': 200, 'adx_len': 12, 'adx_threshold': 27}",0.14757257801568657,10,60,200,12,27
bayesian,32,"{'len_short': 7, 'len_mid': 49, 'len_long': 198, 'adx_len': 14, 'adx_threshold': 23}",0.14751636180704178,7,49,198,14,23
grid,0,"{'len_short': 5, 'len_mid': 60, 'len_long': 200, 'adx_len': 15, 'adx_threshold': 25}",0.14559274487686324,5,60,200,15,25
grid,5,"{'len_short': 15, 'len_mid': 60, 'len_long': 200, 'adx_len': 15, 'adx_threshold': 25}",0.14527883128936853,15,60,200,15,25
bayesian,4,"{'len_short': 13, 'len_mid': 42, 'len_long': 191, 'adx_len': 16, 'adx_threshold': 26}",0.14512976852896053,13,42,191,16,26
bayesian,3,"{'len_short': 9, 'len_mid': 50, 'len_long': 191, 'adx_len': 12, 'adx_threshold': 24}",0.14432283201276724,9,50,191,12,24
bayesian,18,"{'len_short': 19, 'len_mid': 52, 'len_long': 199, 'adx_len': 15, 'adx_threshold': 23}",0.14416454009657645,19,52,199,15,23
grid,6,"{'len_short': 20, 'len_mid': 60, 'len_long': 180, 'adx_len': 12, 'adx_threshold': 21}",0.14324745846460274,20,60,180,12,21
grid,24,"{'len_short': 20, 'len_mid': 40, 'len_long': 180, 'adx_len': 15, 'adx_threshold': 25}",0.1426579211988367,20,40,180,15,25
grid,17,"{'len_short': 15, 'len_mid': 60, 'len_long': 200, 'adx_len': 16, 'adx_threshold': 27}",0.14261595833432045,15,60,200,16,27
bayesian,29,"{'len_short': 7, 'len_mid': 54, 'len_long': 198, 'adx_len': 12, 'adx_threshold': 29}",0.14230759944853796,7,54,198,12,29
bayesian,1,"{'len_short': 17, 'len_mid': 41, 'len_long': 176, 'adx_len': 15, 'adx_threshold': 27}",0.14200606617450906,17,41,176,15,27
grid,9,"{'len_short': 5, 'len_mid': 40, 'len_long': 180, 'adx_len': 14, 'adx_threshold': 25}",0.14037808242772293,5,40,180,14,25
bayesian,12,"{'len_short': 6, 'len_mid': 37, 'len_long': 184, 'adx_len': 16, 'adx_threshold': 25}",0.13994121360301576,6,37,184,16,25
bayesian,23,"{'len_short': 15, 'len_mid': 60, 'len_long': 187, 'adx_len': 12, 'adx_threshold': 21}",0.13890161934237216,15,60,187,12,21
grid,8,"{'len_short': 15, 'len_mid': 60, 'len_long': 180, 'adx_len': 16, 'adx_threshold': 21}",0.13876053076576045,15,60,180,16,21
grid,14,"{'len_short': 15, 'len_mid': 40, 'len_long': 180, 'adx_len': 14, 'adx_threshold': 27}",0.13635715757383055,15,40,180,14,27
grid,4,"{'len_short': 10, 'len_mid': 50, 'len_long': 180, 'adx_len': 14, 'adx_threshold': 27}",0.1346804038234452,10,50,180,14,27
bayesian,33,"{'len_short': 18, 'len_mid': 57, 'len_long': 186, 'adx_len': 12, 'adx_threshold': 28}",0.13025591178598203,18,57,186,12,28
grid,13,"{'len_short': 5, 'len_mid': 50, 'len_long': 180, 'adx_len': 12, 'adx_threshold': 29}",0.12934275704497866,5,50,180,12,29
grid,7,"{'len_short': 20, 'len_mid': 60, 'len_long': 180, 'adx_len': 12, 'adx_threshold': 29}",0.12377357366547119,20,60,180,12,29
